Date,DaySum,DaySumIrr,Pac,Pdc,SolIrr,Time,TmpAmb,TmpMod,Wind,Pdc_pred,Absolute_Percent_diff
18-05-19,217600.0,3596.0,47274.0,48347.0,847.0,12:25:00,29.0,51.0,0.0,55845.926,15.51063653811118
18-05-17,95200.0,1635.0,10303.0,10535.0,176.0,14:05:00,22.0,31.0,0.7,11828.1875,12.275153257069455
18-11-26,340300.0,5255.0,63784.0,65923.0,1189.0,13:10:00,32.0,63.0,2.8,66757.4,1.2657193136636942
18-08-22,38800.0,576.0,35322.0,36012.0,715.0,08:35:00,26.0,41.0,0.4,47887.184,32.9756242380425
18-09-16,94200.0,1350.0,52415.0,53482.0,808.0,09:25:00,34.0,51.0,1.4,54204.426,1.350781952432978
18-07-27,177200.0,2321.0,47290.0,48711.0,670.0,10:30:00,23.0,39.0,0.6,44843.145,7.940416057951059
18-11-27,36100.0,504.0,28697.0,29247.0,412.0,09:00:00,28.0,38.0,0.0,27637.037,5.504709923006909
2018-03-11 00:00:00,323400.0,4302.0,14630.0,14952.0,35.0,17:35:00,26.0,27.0,0.0,2311.625,84.53969392255786
18-04-15,299300.0,4816.0,41414.0,42658.0,374.0,15:45:00,25.0,34.0,0.9,25102.25,41.15464815141514
18-07-29,27100.0,335.0,43300.0,44358.0,578.0,07:50:00,20.0,34.0,0.0,38503.914,13.197359349591217
18-04-16,68700.0,999.0,53060.0,54535.0,598.0,08:25:00,22.0,32.0,2.9,40163.984,26.351914213898752
18-11-28,222200.0,3145.0,23517.0,23950.0,372.0,12:05:00,30.0,41.0,1.3,24939.67,4.132236941622288
2018-03-21 00:00:00,376600.0,5309.0,63359.0,65111.0,1043.0,14:10:00,65.0,54.0,2.5,63097.957,3.091709390910842
18-11-23,174200.0,2290.0,1444.0,1441.0,20.0,13:00:00,18.0,20.0,5.5,1357.0361,5.826781774915644
18-07-28,83900.0,1225.0,49975.0,50975.0,749.0,09:35:00,26.0,42.0,0.6,50036.176,1.84173843567134
18-09-17,249800.0,3402.0,59807.0,61235.0,905.0,11:15:00,36.0,58.0,1.7,58418.89,4.598855345436256
18-04-29,6900.0,102.0,18198.0,18611.0,230.0,07:05:00,22.0,27.0,0.0,15443.044,17.021955914259355
18-06-22,340600.0,4441.0,15641.0,16268.0,187.0,15:35:00,22.0,27.0,1.9,12554.407,22.827593377672958
18-04-19,493600.0,6912.0,48278.0,49260.0,330.0,16:15:00,29.0,42.0,0.0,22133.1,55.068821067060824
18-08-15,41300.0,560.0,45578.0,46850.0,657.0,08:05:00,22.0,35.0,2.2,44134.582,5.795984703296029
18-09-29,400800.0,5792.0,18753.0,19200.0,288.0,16:25:00,29.0,39.0,2.5,19302.568,0.5342074669897608
18-08-20,444600.0,6197.0,5817.0,5900.0,236.0,17:10:00,24.0,33.0,0.7,15843.325,168.53094181772005
18-12-03,122400.0,1781.0,55481.0,56612.0,874.0,09:50:00,35.0,53.0,1.0,57374.64,1.3471374307547666
18-07-01,83200.0,720.0,49988.0,51462.0,646.0,09:05:00,23.0,37.0,1.7,43392.496,15.680505914733702
18-05-19,128000.0,1845.0,57468.0,58617.0,877.0,10:10:00,28.0,49.0,0.4,56226.31,4.078493721562379
18-06-19,351500.0,4533.0,50154.0,51168.0,747.0,14:15:00,26.0,48.0,0.9,50177.277,1.936214249476264
18-06-14,147000.0,1877.0,40250.0,41800.0,892.0,10:40:00,25.0,40.0,1.5,55812.395,33.52247562134665
